T,P,mole_frac_benzene,mole_frac_toluene,enth_mol,entr_mol,h_benzene,h_toluene,s_benzene,s_toluene
597.4556,439738.0,0.6282019741659797,0.37179802583402033,1.0,1.0,1.0,1.0,1.0,1.0
484.0597,466914.0,0.5774937455431308,0.4225062544568692,1.0,1.0,1.0,1.0,1.0,1.0
454.7746,609598.0,0.4097260018102604,0.5902739981897396,1.0,1.0,1.0,1.0,1.0,1.0
626.2579,124534.0,0.3811877809383256,0.6188122190616744,1.0,1.0,1.0,1.0,1.0,1.0
531.4248,526888.0,0.7191301327402431,0.28086986725975693,1.0,1.0,1.0,1.0,1.0,1.0
553.0421,47593.0,0.7297740158785517,0.27022598412144827,1.0,1.0,1.0,1.0,1.0,1.0
420.0764,582002.0,0.4477434827896428,0.5522565172103572,1.0,1.0,1.0,1.0,1.0,1.0
340.1947,25910.0,0.30955439233536935,0.6904456076646306,1.0,1.0,1.0,1.0,1.0,1.0
631.5315,431235.0,0.511843784073716,0.488156215926284,1.0,1.0,1.0,1.0,1.0,1.0
572.1347,601601.0,0.5692844977983894,0.4307155022016106,1.0,1.0,1.0,1.0,1.0,1.0
281.9511,446053.0,0.5618378162574892,0.4381621837425108,1.0,1.0,1.0,1.0,1.0,1.0
624.9559,613609.0,0.5296669781573567,0.47033302184264325,1.0,1.0,1.0,1.0,1.0,1.0
458.001,332759.0,0.3332568505374528,0.6667431494625472,1.0,1.0,1.0,1.0,1.0,1.0
570.9699,860527.0,0.28336832774685516,0.7166316722531448,1.0,1.0,1.0,1.0,1.0,1.0
278.7895,57996.0,0.44434618499942324,0.5556538150005768,1.0,1.0,1.0,1.0,1.0,1.0
629.8296,156166.0,0.6203982012579563,0.3796017987420437,1.0,1.0,1.0,1.0,1.0,1.0
214.8397,68481.0,0.7405797196487938,0.25942028035120623,1.0,1.0,1.0,1.0,1.0,1.0
605.9139,240691.0,0.6773655511069323,0.3226344488930677,1.0,1.0,1.0,1.0,1.0,1.0
489.1786,882819.0,0.7169935113219381,0.2830064886780619,1.0,1.0,1.0,1.0,1.0,1.0
200.3713,442417.0,0.3454142293828144,0.6545857706171856,1.0,1.0,1.0,1.0,1.0,1.0
194.7616,685204.0,0.7633967444938765,0.2366032555061235,1.0,1.0,1.0,1.0,1.0,1.0
442.9219,804762.0,0.2519004727283807,0.7480995272716193,1.0,1.0,1.0,1.0,1.0,1.0
243.3212,855287.0,0.2311451520120086,0.7688548479879914,1.0,1.0,1.0,1.0,1.0,1.0
362.2133,830168.0,0.6715477265301397,0.3284522734698603,1.0,1.0,1.0,1.0,1.0,1.0
550.2017,825610.0,0.7633814712408307,0.23661852875916933,1.0,1.0,1.0,1.0,1.0,1.0
566.9502,746526.0,0.7199928951212715,0.2800071048787285,1.0,1.0,1.0,1.0,1.0,1.0
205.0884,318157.0,0.3709628958718014,0.6290371041281986,1.0,1.0,1.0,1.0,1.0,1.0
596.4183,379329.0,0.6161462336389157,0.38385376636108426,1.0,1.0,1.0,1.0,1.0,1.0
415.7465,141760.0,0.5017218161593762,0.49827818384062383,1.0,1.0,1.0,1.0,1.0,1.0
555.7814,797000.0,0.7112220902540005,0.2887779097459995,1.0,1.0,1.0,1.0,1.0,1.0
247.3731,424108.0,0.5666852166501215,0.4333147833498785,1.0,1.0,1.0,1.0,1.0,1.0
577.1238,177029.0,0.2822504818702215,0.7177495181297785,1.0,1.0,1.0,1.0,1.0,1.0
420.3798,572687.0,0.23086508051356128,0.7691349194864388,1.0,1.0,1.0,1.0,1.0,1.0
414.9342,370496.0,0.20725191157333697,0.792748088426663,1.0,1.0,1.0,1.0,1.0,1.0
419.9687,840323.0,0.26589070711986773,0.7341092928801323,1.0,1.0,1.0,1.0,1.0,1.0
357.7936,55031.0,0.20547839951436186,0.7945216004856381,1.0,1.0,1.0,1.0,1.0,1.0
385.1337,31597.0,0.35046342256443874,0.6495365774355613,1.0,1.0,1.0,1.0,1.0,1.0
624.9945,185703.0,0.6497260480587321,0.35027395194126787,1.0,1.0,1.0,1.0,1.0,1.0
567.3929,646299.0,0.6163697986939707,0.3836302013060293,1.0,1.0,1.0,1.0,1.0,1.0
609.1163,538868.0,0.22539976597388986,0.7746002340261101,1.0,1.0,1.0,1.0,1.0,1.0
504.4871,81975.0,0.5793150311260215,0.42068496887397855,1.0,1.0,1.0,1.0,1.0,1.0
453.7418,382682.0,0.358900919769013,0.641099080230987,1.0,1.0,1.0,1.0,1.0,1.0
233.8963,303158.0,0.3317955481063499,0.6682044518936501,1.0,1.0,1.0,1.0,1.0,1.0
520.7615,832539.0,0.5763561521192626,0.4236438478807374,1.0,1.0,1.0,1.0,1.0,1.0
291.7942,638569.0,0.21369165089519498,0.7863083491048051,1.0,1.0,1.0,1.0,1.0,1.0
618.4206,42840.0,0.361700167826007,0.638299832173993,1.0,1.0,1.0,1.0,1.0,1.0
539.0414,629500.0,0.281267684471615,0.718732315528385,1.0,1.0,1.0,1.0,1.0,1.0
423.2234,472620.0,0.3451966568991108,0.6548033431008893,1.0,1.0,1.0,1.0,1.0,1.0
511.6638,592402.0,0.7264487797076964,0.2735512202923036,1.0,1.0,1.0,1.0,1.0,1.0
564.5525,311026.0,0.38432305277257794,0.6156769472274221,1.0,1.0,1.0,1.0,1.0,1.0
318.4284,527979.0,0.2586327251000371,0.7413672748999629,1.0,1.0,1.0,1.0,1.0,1.0
287.9637,618864.0,0.6519442640151085,0.3480557359848915,1.0,1.0,1.0,1.0,1.0,1.0
411.1549,442006.0,0.6140902519798344,0.38590974802016564,1.0,1.0,1.0,1.0,1.0,1.0
195.2253,757994.0,0.5603533940858255,0.4396466059141745,1.0,1.0,1.0,1.0,1.0,1.0
206.3112,406617.0,0.21073915197561285,0.7892608480243871,1.0,1.0,1.0,1.0,1.0,1.0
297.1866,590553.0,0.4626792153749755,0.5373207846250245,1.0,1.0,1.0,1.0,1.0,1.0
239.3287,647325.0,0.7301364803774617,0.2698635196225383,1.0,1.0,1.0,1.0,1.0,1.0
382.3954,184445.0,0.5157603609823888,0.48423963901761125,1.0,1.0,1.0,1.0,1.0,1.0
197.3599,895841.0,0.7967496092185946,0.2032503907814054,1.0,1.0,1.0,1.0,1.0,1.0
409.1211,785804.0,0.6142809171698849,0.38571908283011513,1.0,1.0,1.0,1.0,1.0,1.0
315.3581,258076.0,0.40673804562865723,0.5932619543713428,1.0,1.0,1.0,1.0,1.0,1.0
585.9041,541892.0,0.23784743506556455,0.7621525649344354,1.0,1.0,1.0,1.0,1.0,1.0
579.2791,627310.0,0.5628273277144741,0.4371726722855259,1.0,1.0,1.0,1.0,1.0,1.0
404.2379,615319.0,0.4157935042795938,0.5842064957204063,1.0,1.0,1.0,1.0,1.0,1.0
604.1817,814014.0,0.5072594151701248,0.49274058482987515,1.0,1.0,1.0,1.0,1.0,1.0
621.8141,823729.0,0.3135075363121963,0.6864924636878037,1.0,1.0,1.0,1.0,1.0,1.0
424.1607,229140.0,0.5368383036383687,0.4631616963616313,1.0,1.0,1.0,1.0,1.0,1.0
300.8072,366789.0,0.3355131456704725,0.6644868543295275,1.0,1.0,1.0,1.0,1.0,1.0
339.6209,123049.0,0.4598166824975363,0.5401833175024637,1.0,1.0,1.0,1.0,1.0,1.0
592.3745,25188.0,0.47296520089118343,0.5270347991088166,1.0,1.0,1.0,1.0,1.0,1.0
610.1155,48321.0,0.5316920837757788,0.4683079162242212,1.0,1.0,1.0,1.0,1.0,1.0
527.8747,439451.0,0.3374100573962404,0.6625899426037596,1.0,1.0,1.0,1.0,1.0,1.0
426.5568,691631.0,0.5315963105453304,0.4684036894546696,1.0,1.0,1.0,1.0,1.0,1.0
494.9654,383756.0,0.2714507265001412,0.7285492734998589,1.0,1.0,1.0,1.0,1.0,1.0
277.5186,321578.0,0.42004036726832916,0.5799596327316708,1.0,1.0,1.0,1.0,1.0,1.0
329.8693,477304.0,0.6884400598082406,0.31155994019175937,1.0,1.0,1.0,1.0,1.0,1.0
645.4805,897456.0,0.4621149291851963,0.5378850708148037,1.0,1.0,1.0,1.0,1.0,1.0
605.5994,183239.0,0.3297148074218921,0.6702851925781079,1.0,1.0,1.0,1.0,1.0,1.0
403.9529,780300.0,0.737857938297009,0.26214206170299104,1.0,1.0,1.0,1.0,1.0,1.0
303.4011,620075.0,0.2874568732717042,0.7125431267282958,1.0,1.0,1.0,1.0,1.0,1.0
460.1247,285162.0,0.29159694975728334,0.7084030502427167,1.0,1.0,1.0,1.0,1.0,1.0
500.6544,320602.0,0.5612509041229563,0.4387490958770437,1.0,1.0,1.0,1.0,1.0,1.0
339.2674,309341.0,0.5735742738121892,0.4264257261878108,1.0,1.0,1.0,1.0,1.0,1.0
487.3791,14825.0,0.3698549999262285,0.6301450000737715,1.0,1.0,1.0,1.0,1.0,1.0
248.5913,314677.0,0.7407444722951346,0.2592555277048654,1.0,1.0,1.0,1.0,1.0,1.0
483.1612,410240.0,0.4187568619865507,0.5812431380134493,1.0,1.0,1.0,1.0,1.0,1.0
471.7425,514536.0,0.3413997673074534,0.6586002326925466,1.0,1.0,1.0,1.0,1.0,1.0
605.5858,194483.0,0.49367916457840577,0.5063208354215942,1.0,1.0,1.0,1.0,1.0,1.0
270.1685,140844.0,0.48837116129038793,0.5116288387096121,1.0,1.0,1.0,1.0,1.0,1.0
588.5178,723052.0,0.21674946276569518,0.7832505372343048,1.0,1.0,1.0,1.0,1.0,1.0
203.0876,436220.0,0.2848561449880681,0.7151438550119319,1.0,1.0,1.0,1.0,1.0,1.0
636.5696,858713.0,0.5351335408936302,0.4648664591063698,1.0,1.0,1.0,1.0,1.0,1.0
440.2208,223138.0,0.4504486960251118,0.5495513039748883,1.0,1.0,1.0,1.0,1.0,1.0
258.9016,13041.0,0.5543343218916461,0.4456656781083539,1.0,1.0,1.0,1.0,1.0,1.0
562.6402,759539.0,0.3674062046812975,0.6325937953187025,1.0,1.0,1.0,1.0,1.0,1.0
418.9674,285328.0,0.20086294200185764,0.7991370579981424,1.0,1.0,1.0,1.0,1.0,1.0
497.1324,178192.0,0.5165659681724886,0.48343403182751143,1.0,1.0,1.0,1.0,1.0,1.0
638.7575,402568.0,0.32251157347026826,0.6774884265297317,1.0,1.0,1.0,1.0,1.0,1.0
504.0783,198485.0,0.6835789775346042,0.31642102246539583,1.0,1.0,1.0,1.0,1.0,1.0
232.1067,468776.0,0.6755419347498173,0.3244580652501827,1.0,1.0,1.0,1.0,1.0,1.0
411.6665,410308.0,0.23075599795429638,0.7692440020457036,1.0,1.0,1.0,1.0,1.0,1.0
297.2705,165403.0,0.34097196192213786,0.6590280380778621,1.0,1.0,1.0,1.0,1.0,1.0
255.3383,630235.0,0.24749899034348327,0.7525010096565168,1.0,1.0,1.0,1.0,1.0,1.0
511.9612,42660.0,0.7032514594971921,0.29674854050280786,1.0,1.0,1.0,1.0,1.0,1.0
441.8209,446921.0,0.7540214701577137,0.2459785298422863,1.0,1.0,1.0,1.0,1.0,1.0
388.4285,135606.0,0.39018051965535094,0.6098194803446491,1.0,1.0,1.0,1.0,1.0,1.0
201.4558,525970.0,0.7918786097569623,0.20812139024303766,1.0,1.0,1.0,1.0,1.0,1.0
483.4533,242385.0,0.5686787012063468,0.4313212987936532,1.0,1.0,1.0,1.0,1.0,1.0
344.9829,106278.0,0.5941925387978847,0.4058074612021153,1.0,1.0,1.0,1.0,1.0,1.0
672.811,242692.0,0.7238260773088612,0.27617392269113883,1.0,1.0,1.0,1.0,1.0,1.0
416.1324,86296.0,0.4617597437542229,0.5382402562457771,1.0,1.0,1.0,1.0,1.0,1.0
515.1182,632537.0,0.6865347530629784,0.3134652469370216,1.0,1.0,1.0,1.0,1.0,1.0
