a,b,c,d
71.5,48.7,334.7,-48.65804195804196
85.0,43.6,383.6,-43.56470588235294
36.6,67.7,214.10000000000002,-67.61803278688525
90.0,95.7,455.7,-95.66666666666667
50.6,69.9,272.3,-69.8407114624506
80.1,56.2,376.59999999999997,-56.162546816479406
74.7,24.1,322.90000000000003,-24.05983935742972
12.0,40.3,88.3,-40.05
86.9,97.8,445.40000000000003,-97.76547756041427
14.0,26.0,82.0,-25.785714285714285
81.7,40.5,367.3,-40.46328029375765
92.3,86.2,455.4,-86.16749729144095
20.1,43.4,123.80000000000001,-43.25074626865671
57.5,1.8,231.8,-1.7478260869565219
28.8,75.9,191.10000000000002,-75.79583333333333
72.3,86.7,375.9,-86.65850622406639
20.3,50.8,132.0,-50.65221674876847
35.9,68.0,211.6,-67.91643454038997
7.5,77.2,107.2,-76.8
31.9,94.0,221.6,-93.90595611285266
74.2,93.4,390.20000000000005,-93.35956873315365
36.9,26.8,174.4,-26.71869918699187
25.7,49.3,152.1,-49.18326848249027
37.3,49.0,198.2,-48.919571045576404
82.4,13.7,343.3,-13.663592233009709
63.0,43.9,295.9,-43.85238095238095
36.8,82.5,229.7,-82.41847826086956
46.0,3.7,187.7,-3.6347826086956525
57.4,49.6,279.2,-49.547735191637635
8.4,46.8,80.4,-46.44285714285714
40.4,65.1,226.7,-65.02574257425742
90.0,21.6,381.6,-21.566666666666666
34.2,74.8,211.60000000000002,-74.71228070175438
72.1,53.4,341.79999999999995,-53.35839112343967
33.2,83.9,216.70000000000002,-83.80963855421687
85.4,60.4,402.0,-60.36487119437939
30.9,25.6,149.2,-25.502912621359226
20.6,9.7,92.10000000000001,-9.554368932038834
58.4,96.4,330.0,-96.3486301369863
81.2,13.0,337.8,-12.963054187192117
6.8,37.5,64.7,-37.05882352941177
12.2,43.8,92.6,-43.554098360655736
81.0,66.2,390.2,-66.16296296296296
36.8,59.1,206.29999999999998,-59.018478260869564
63.3,24.3,277.5,-24.25260663507109
80.6,35.5,357.9,-35.46277915632754
70.1,32.7,313.09999999999997,-32.657203994293866
16.5,72.1,138.1,-71.91818181818181
98.5,62.1,456.1,-62.06954314720812
18.6,3.5,77.9,-3.338709677419355
35.7,95.5,238.3,-95.41596638655462
79.3,42.2,359.4,-42.16216897856243
71.8,75.6,362.79999999999995,-75.55821727019499
87.7,23.3,374.1,-23.265792474344355
85.4,36.1,377.70000000000005,-36.06487119437939
13.5,88.2,142.2,-87.97777777777777
87.3,72.4,421.6,-72.36563573883161
23.9,65.1,160.7,-64.97447698744769
94.1,23.0,399.4,-22.968119022316685
15.1,37.8,98.19999999999999,-37.601324503311254
54.6,67.3,285.7,-67.24505494505495
57.6,34.4,264.8,-34.34791666666666
35.5,18.3,160.3,-18.21549295774648
68.7,36.0,310.8,-35.956331877729255
47.6,36.4,226.8,-36.33697478991596
3.1,13.1,25.5,-12.13225806451613
93.9,85.7,461.3,-85.66805111821087
55.8,50.5,273.7,-50.446236559139784
49.1,12.8,209.20000000000002,-12.738900203665988
77.8,95.7,406.9,-95.66143958868895
42.1,1.1,169.5,-1.0287410926365796
34.9,54.1,193.7,-54.01404011461318
35.2,32.8,173.60000000000002,-32.714772727272724
53.2,65.2,278.0,-65.14360902255639
21.9,49.1,136.7,-48.963013698630135
91.2,59.9,424.7,-59.867105263157896
79.4,11.7,329.3,-11.662216624685138
98.7,13.7,408.5,-13.669604863221883
94.0,99.4,475.4,-99.36808510638298
96.6,34.4,420.79999999999995,-34.36894409937888
37.0,63.7,211.7,-63.61891891891892
80.4,1.0,322.6,-0.9626865671641791
44.0,18.1,194.1,-18.031818181818185
65.2,87.5,348.3,-87.45398773006134
15.6,80.1,142.5,-79.9076923076923
37.7,71.3,222.10000000000002,-71.22042440318302
57.9,93.4,325.0,-93.34818652849742
63.1,59.2,311.6,-59.15245641838352
7.3,17.2,46.4,-16.78904109589041
96.8,7.2,394.4,-7.16900826446281
26.8,19.2,126.4,-19.088059701492536
20.2,94.2,175.0,-94.05148514851486
50.9,12.2,215.79999999999998,-12.141060903732809
82.0,4.2,332.2,-4.163414634146342
56.2,19.5,244.3,-19.44661921708185
83.6,80.0,414.4,-79.96411483253588
24.6,97.1,195.5,-96.9780487804878
91.0,83.6,447.6,-83.56703296703296
63.2,31.7,284.5,-31.65253164556962
18.7,98.7,173.5,-98.53957219251338
46.3,26.2,211.39999999999998,-26.135205183585313
23.6,74.3,168.7,-74.1728813559322
61.8,31.1,278.3,-31.05145631067961
78.7,22.3,337.1,-22.261880559085135
89.8,22.1,381.3,-22.06659242761693
33.2,30.5,163.3,-30.40963855421687
49.8,58.8,258.0,-58.73975903614458
99.9,43.6,443.20000000000005,-43.56996996996997
62.1,9.7,258.1,-9.651690821256038
12.7,92.6,143.39999999999998,-92.36377952755905
31.4,66.6,192.2,-66.5044585987261
27.9,98.0,209.6,-97.89247311827957
46.3,51.9,237.1,-51.83520518358531
57.9,56.4,288.0,-56.34818652849741
23.8,52.5,147.7,-52.37394957983193
37.3,96.5,245.7,-96.4195710455764
16.5,41.7,107.7,-41.51818181818182
83.9,64.9,400.5,-64.8642431466031
31.9,96.4,224.0,-96.30595611285267
77.5,90.5,400.5,-90.46129032258065
41.0,31.3,195.3,-31.226829268292683
43.9,84.6,260.2,-84.53166287015945
15.1,8.6,69.0,-8.401324503311258
29.1,7.8,124.2,-7.6969072164948455
65.6,35.3,297.7,-35.25426829268292
46.2,70.8,255.60000000000002,-70.73506493506493
83.3,78.6,411.79999999999995,-78.56398559423769
93.8,32.2,407.4,-32.1680170575693
92.7,2.6,373.40000000000003,-2.5676375404530747
75.6,44.7,347.09999999999997,-44.660317460317465
33.6,26.3,160.70000000000002,-26.210714285714285
50.5,3.8,205.8,-3.7405940594059404
72.2,47.1,335.90000000000003,-47.058448753462606
88.8,76.4,431.6,-76.36621621621622
79.3,49.3,366.5,-49.26216897856242
86.2,39.1,383.90000000000003,-39.06519721577726
5.4,64.9,86.5,-64.34444444444445
63.4,89.0,342.6,-88.95268138801262
45.4,80.3,261.9,-80.23392070484581
13.9,96.0,151.6,-95.7841726618705
45.1,69.7,250.10000000000002,-69.63348115299335
74.3,11.4,308.59999999999997,-11.359623149394348
78.3,30.2,343.4,-30.161685823754787
13.0,96.4,148.4,-96.16923076923078
15.7,80.0,142.8,-79.80891719745223
88.1,65.3,417.7,-65.26594778660612
