temperature,pressure,q,enth_mol,entr_mol,vol_mol
459.1901,143672.0,1.0,43006.04530747081,114.40253470631161,0.026048195943756545
532.739,3038726.0,1.0,48019.67253922951,102.16405562183601,0.0009528764033594275
396.93,227660.0,1.0,35129.74143631944,92.29115719359592,0.013733220300763509
375.6976,75347.0,1.0,33179.170550447874,96.12068971197492,0.04061740695364822
560.7553,4766507.0,1.0,46683.63518822964,97.70585793703502,0.00039559619508049696
544.8618,76711.0,1.0,55139.23271927292,143.74459147223746,0.05870535755800947
463.2358,666234.0,1.0,42552.86698631911,101.27503502628754,0.005228350486797546
540.3949,48314.0,1.0,54506.34358981822,146.403722056383,0.09264110483132211
418.8656,522089.0,1.0,37002.437447537726,90.5121624582374,0.005960067998082654
551.8187,4308323.0,1.0,46856.18248735736,98.37868021153868,0.0004895865947432256
527.4521,2380207.0,1.0,48796.48613917124,105.05587632350517,0.0013724140447943308
537.6247,1301813.0,1.0,52427.45831242455,116.02926189017028,0.003040582307688753
406.8959,185844.0,1.0,36405.85525923738,97.07717173035302,0.017494127141505403
546.1866,1695410.0,1.0,53189.47267396072,115.52265005307954,0.00229077995972932
555.8356,3363002.0,1.0,51702.363577085154,108.36643018491385,0.0009409593154823066
545.0009,1508469.0,1.0,53283.6293725254,116.53430773823823,0.002619521075968498
517.7962,357320.0,1.0,50789.04920645951,122.9617617436021,0.011645961532723587
551.6286,2048742.0,1.0,53520.950306863386,114.80209861795214,0.0018513064602684634
535.56,3412585.0,1.0,47268.309801598465,100.15663030604779,0.0007680191476681648
543.3576,2864637.0,1.0,50524.07862770924,107.15700708020928,0.0011302261152580254
548.2434,3543744.0,1.0,49653.505136045285,104.3678987276919,0.000807830579566304
546.9238,722710.0,1.0,54665.67556341515,124.6486563686357,0.005931575325688308
503.2725,577606.0,1.0,48360.898424628904,114.39373345634543,0.006804350860882455
547.0858,2719209.0,1.0,51519.115528899834,109.29886313512682,0.0012462512098217202
428.8921,159107.0,1.0,39123.4756524274,104.82967282066568,0.02179203007965066
552.6721,2593736.0,1.0,52751.55699695881,111.83822909144666,0.0013666680200693619
539.115,2463861.0,1.0,50645.55238548804,108.30722198011732,0.0013819938139595837
552.3248,861421.0,1.0,55323.777159147125,124.47644624374031,0.00497646407263191
483.1364,353952.0,1.0,45870.90182706365,113.20943571400704,0.01087260865268077
560.0079,2927697.0,1.0,53417.689477610904,112.26986631229917,0.0011914329075949012
