temperature,pressure,q,enth_mol,entr_mol,vol_mol
323.7108,2102379.0,0.0,-4169.511757691717,-12.877640724499505,9.210783448626864e-05
339.457,4067381.0,0.0,-1815.6896544632662,-6.328964410024319,9.375038907620966e-05
545.2503,3248952.0,1.0,49910.58738775586,105.30545668657459,0.0009286790249046916
444.5554,2952727.0,0.0,14853.075559424564,36.55347549320149,0.00011056250281497319
322.3291,463658.0,0.0,-4453.304104442154,-13.288886868682106,9.212322881046143e-05
471.2106,3319883.0,0.0,19655.544688095633,46.951033928430554,0.00011680683877069974
426.492,1516667.0,0.0,11707.558322717605,29.69003368620217,0.00010741750317604179
289.2373,3329779.0,0.0,-8827.21501706243,-28.444447726023224,8.820959377475683e-05
447.799,17912.0,1.0,41764.73728071666,128.82770636029477,0.20731274183458384
299.5536,576354.0,0.0,-7596.8073669702335,-23.43366389042697,8.953406834686089e-05
516.4517,2586688.0,1.0,46250.244147782454,99.68246038570264,0.0011251179614831194
426.4477,1838174.0,0.0,11707.820620378921,29.609714944557943,0.00010729548024796819
452.349,4148749.0,0.0,16241.661708882415,39.35349618430867,0.00011172358124511037
378.037,1290967.0,0.0,3828.9303836113672,10.156104955328663,9.929940793612582e-05
412.6884,1279194.0,0.0,9385.21708710247,24.21520946988252,0.00010491093916509205
361.2423,2840045.0,0.0,1334.0774776248875,2.995865484062558,9.668184722504749e-05
553.1875,4649990.0,0.0,37451.53470422108,81.22452821041175,0.0001671434403541602
350.8765,299158.0,0.0,-337.6552864630856,-1.0129907568192877,9.569021266826901e-05
450.2937,1276144.0,0.0,15852.502126018395,39.205304825424335,0.00011267242592348876
455.1955,2743391.0,0.0,16737.22352547001,40.79364408193987,0.00011307375964888119
311.5109,3939394.0,0.0,-5769.8396997572045,-18.444697078118594,9.054150427295423e-05
402.0931,1362160.0,0.0,7651.033183494303,19.93717633922592,0.00010305419823832549
305.5023,2888223.0,0.0,-6654.830467574777,-21.005832301717167,8.997871020528945e-05
279.1832,2508418.0,0.0,-10208.507959101333,-33.05135800044346,8.723561481372172e-05
319.8253,1206257.0,0.0,-4764.826017718697,-14.471763002599564,9.175178000160719e-05
443.8728,1599969.0,0.0,14715.472297915489,36.58109493072069,0.00011102148659782106
336.9302,4510515.0,0.0,-2156.674348138165,-7.459825437410247,9.339394827608452e-05
481.1297,4288180.0,0.0,21494.190622680897,50.57277761889699,0.00011889363341295102
540.041,4789149.0,0.0,33713.335176851804,74.35068419480208,0.00014643295187829046
509.2707,2111590.0,1.0,46304.607670616955,100.98895342573067,0.0014888477069880243
418.1957,1736422.0,0.0,10315.146497864822,26.33769651274728,0.00010577099969463183
451.6619,4454428.0,0.0,16123.967291860612,39.017657003582464,0.000111431774842246
540.9958,3275510.0,1.0,48967.268337900314,103.52420424027649,0.0008849029117414499
461.307,4353695.0,0.0,17843.137069967383,42.8086020216745,0.0001136708425903432
418.1934,1752348.0,0.0,10315.222841643135,26.333851120483892,0.00010576559075832135
394.6735,2728830.0,0.0,6508.595591673187,16.71863195729686,0.00010152496608403697
507.5905,1520796.0,1.0,47358.12120077197,105.21415017017684,0.0022980483864888097
432.6897,4663696.0,0.0,12839.99862717053,31.5388912736561,0.00010750964509642195
376.9036,44955.0,1.0,33394.93655705985,100.92068616578067,0.06888161505894112
323.6952,346184.0,0.0,-4266.917913203509,-12.678325946579013,9.229720737851947e-05
488.7324,2048859.0,0.0,23042.959460316863,54.32523652790155,0.0001234673515365643
534.0618,2744373.0,1.0,49102.62826061587,104.77238032284227,0.0011455376368199343
461.515,671069.0,1.0,42305.62197573944,100.68599633732953,0.00515931161192082
422.3298,3514139.0,0.0,11058.78938252265,27.659337256010552,0.00010597027649968546
361.9046,2143306.0,0.0,1400.136089502827,3.3650554970729325,9.68797144397706e-05
557.3522,744538.0,1.0,56250.50226072585,127.28554858303492,0.005879960542745008
417.6791,234932.0,1.0,37580.005197931074,98.05843367894946,0.014110147961404015
352.9479,888290.0,0.0,-1.219100766494678,-0.2173164140857898,9.587679893590813e-05
292.5841,1041313.0,0.0,-8511.442067396292,-26.66298905306193,8.874329917266093e-05
389.2251,1548727.0,0.0,5594.833336220626,14.6920779219429,0.00010093688665706207
411.6433,1008339.0,0.0,9203.832633558899,23.844039989847673,0.00010480359542942863
356.6177,3633989.0,0.0,680.8418939223377,0.9628594046695205,9.595463708364544e-05
476.974,1816709.0,0.0,20770.59658092776,49.677621070254396,0.00011965318185109882
428.1187,82248.0,1.0,39189.90479572937,110.36006067571536,0.04266330913478446
491.3224,2944728.0,0.0,23503.054051309784,55.03847761217278,0.00012341521463135472
384.2214,1434176.0,0.0,4800.889497787057,12.66885391348682,0.00010019400896552657
287.3813,2454863.0,0.0,-9125.5987813849,-29.211899016141178,8.808375287334188e-05
530.2387,2648362.0,1.0,48644.00880974517,104.12074302590605,0.0011848663879466322
496.0385,1685545.0,1.0,45168.491296071414,100.1596056347702,0.001918529537515829
499.7101,1709048.0,1.0,45703.146679778125,101.14301613129103,0.0019142780271501256
435.9294,2456582.0,0.0,13344.470857637725,33.25037293427582,0.0001089557467854791
431.3559,2229860.0,0.0,12553.661654673017,31.483471346411786,0.00010811908461219927
332.7611,4376061.0,0.0,-2761.70747451485,-9.229332210451918,9.291571749303042e-05
527.3486,1350851.0,1.0,50745.97028789954,112.60121604048267,0.0028286922143712393
351.6589,3057381.0,0.0,-84.0049564817037,-1.0411171720332344,9.539846468924587e-05
297.839,3815145.0,0.0,-7643.90695061772,-24.559658454303605,8.907414579626256e-05
293.2627,3036523.0,0.0,-8305.249828570359,-26.563235929410855,8.865393745027228e-05
351.7876,4102393.0,0.0,-12.111583539698461,-1.119962802241621,9.526994518158704e-05
352.4184,4210231.0,0.0,86.55984396869505,-0.8689163287202237,9.533492073162748e-05
509.8272,963785.0,1.0,48705.22430949931,111.15282202087742,0.003956500991428429
519.7921,1695706.0,1.0,48949.69086862352,107.56538723525796,0.002096693287794884
404.577,34493.0,1.0,36499.91763718752,111.04938199631624,0.09682520274252458
412.6112,3917403.0,0.0,9458.73789147151,23.725108661199457,0.00010415135906172728
503.6371,176398.0,1.0,49009.2775771632,125.19965793968395,0.023314760218777257
300.5085,3438549.0,0.0,-7303.985102578186,-23.311128429478366,8.939043292917678e-05
497.4762,2392498.0,0.0,24770.90592505798,57.74234776483655,0.00012650650477919582
487.982,4410809.0,0.0,22792.977219623168,53.222804989439396,0.00012085317682149495
301.3884,513276.0,0.0,-7350.8860722764075,-22.59639230877815,8.974044764383432e-05
350.114,1610306.0,0.0,-385.06964687540034,-1.505690996929582,9.540306031524593e-05
405.6802,1624932.0,0.0,8244.198298648105,21.338600336076762,0.0001035909472864105
460.9447,1440416.0,0.0,17781.01019896618,43.39693965410882,0.00011527399896651427
318.3247,3381215.0,0.0,-4855.107966060837,-15.37877673682056,9.135668158431354e-05
378.966,3877746.0,0.0,4087.7708027103427,10.162530950420129,9.894812466652476e-05
466.7124,2804526.0,0.0,18829.69511067375,45.31789344885711,0.00011593669566978764
494.2098,1116925.0,1.0,46104.06418183954,104.88668639766821,0.0031881349265922287
526.3092,3128507.0,0.0,30939.331502384655,69.59628009295885,0.00014168688098271156
284.7817,2082432.0,0.0,-9493.016961139221,-30.38170422799969,8.784200899150387e-05
288.4137,483848.0,0.0,-9102.22275804979,-28.526770409542934,8.834519766536384e-05
541.1445,1408432.0,1.0,52821.3115563875,116.1822717826658,0.0028052996370727763
517.5936,545751.0,1.0,50495.137273460736,119.02028432250766,0.007476507713477418
419.738,1133996.0,0.0,10556.63727374636,27.066520877975503,0.00010625073926604432
396.0076,3937807.0,0.0,6769.875879626763,17.069157544771826,0.0001014621361257205
466.3826,3740187.0,0.0,18763.72478572213,44.94466227399889,0.00011526549391108582
495.3014,2221739.0,0.0,24343.979549196065,56.92568525142612,0.000125832001988944
486.6409,1493942.0,1.0,44141.86142214144,98.8640549146033,0.0021624681328976775
536.926,2282838.0,1.0,50636.04789229899,108.77741987198901,0.0015213428354857875
392.9947,2180391.0,0.0,6219.083725888057,16.124802931285416,0.00010138521493419889
536.3195,4428125.0,0.0,32933.904367052004,73.00007998818543,0.000144769783049021
469.7213,162120.0,1.0,44366.41952237173,116.34743280219189,0.023590840286450292
464.6552,308298.0,1.0,43434.49893803382,109.16832042341267,0.012009640869397686
530.4552,797119.0,1.0,52056.513217478416,119.04202557248739,0.005141130990442122
338.7244,4517326.0,0.0,-1897.7400776978013,-6.695240405774775,9.360773833773508e-05
365.0664,4040581.0,0.0,1968.6536362385214,4.423123527990498,9.700460220974088e-05
457.8991,405476.0,1.0,42350.08663079416,104.65188652227774,0.008841198958566138
359.1769,3248703.0,0.0,1044.0861990086398,2.0813080906398778,9.634585643884306e-05
323.2357,1730412.0,0.0,-4256.736522171262,-13.041383928062066,9.209249143558252e-05
445.607,4070014.0,0.0,15054.600290120641,36.72903661575277,0.00011030543976837082
331.3176,878608.0,0.0,-3154.900610863212,-9.433584242444583,9.314842034391474e-05
302.7562,3223017.0,0.0,-7010.690753309852,-22.274802028601783,8.965086090750996e-05
486.3456,2957220.0,0.0,22530.69084513266,53.046208276843146,0.00012166770014616374
552.8589,997712.0,1.0,55232.37759369228,123.1775158053753,0.004250605729386103
